purchase_id,ingredient_id,branch_id,quantity,unit_cost_real,supplier_name,purchased_at
37,1,1,19.73,216.34,Café Origen SA,2024-09-09 08:00:00
38,2,1,281.73,23.64,Lácteos del Valle,2024-09-09 08:00:00
39,3,1,63.02,46.54,Lácteos del Valle,2024-09-09 08:00:00
40,4,1,4074.21,0.33,Distribuidora Sabores MX,2024-09-09 08:00:00
41,5,1,3143.09,0.36,Distribuidora Sabores MX,2024-09-09 08:00:00
42,6,1,14.5,170.54,Distribuidora Sabores MX,2024-09-09 08:00:00
43,7,1,184.31,5.9,Insumos Generales Toluca,2024-09-09 08:00:00
44,8,1,439.11,4.3,Panificadora San José,2024-09-09 08:00:00
45,9,1,25.78,144.63,Carnes Selectas,2024-09-09 08:00:00
46,10,1,20.1,153.5,Lácteos del Valle,2024-09-09 08:00:00
47,11,1,320.49,12.25,Panificadora San José,2024-09-09 08:00:00
48,12,1,13.56,134.87,Lácteos del Valle,2024-09-09 08:00:00
49,13,1,430.73,1.83,Insumos Generales Toluca,2024-09-09 08:00:00
50,14,1,43.18,56.72,Insumos Generales Toluca,2024-09-09 08:00:00
51,15,1,3222.65,1.16,Empaques y Desechables MX,2024-09-09 08:00:00
52,16,1,2106.3,1.43,Empaques y Desechables MX,2024-09-09 08:00:00
53,17,1,3447.79,0.81,Empaques y Desechables MX,2024-09-09 08:00:00
54,18,1,40.95,24.37,Insumos Generales Toluca,2024-09-09 08:00:00
55,1,2,20.83,227.2,Café Origen SA,2024-09-09 08:00:00
56,2,2,195.72,24.4,Lácteos del Valle,2024-09-09 08:00:00
57,3,2,59.93,43.2,Lácteos del Valle,2024-09-09 08:00:00
58,4,2,4669.76,0.35,Distribuidora Sabores MX,2024-09-09 08:00:00
59,5,2,4463.01,0.36,Distribuidora Sabores MX,2024-09-09 08:00:00
60,6,2,14.96,180.68,Distribuidora Sabores MX,2024-09-09 08:00:00
61,7,2,228.29,6.44,Insumos Generales Toluca,2024-09-09 08:00:00
62,8,2,341.52,4.48,Panificadora San José,2024-09-09 08:00:00
63,9,2,23.72,133.96,Carnes Selectas,2024-09-09 08:00:00
64,10,2,16.44,160.53,Lácteos del Valle,2024-09-09 08:00:00
65,11,2,382.9,11.97,Panificadora San José,2024-09-09 08:00:00
66,12,2,11.97,128.68,Lácteos del Valle,2024-09-09 08:00:00
67,13,2,439.79,1.65,Insumos Generales Toluca,2024-09-09 08:00:00
68,14,2,30.34,52.64,Insumos Generales Toluca,2024-09-09 08:00:00
69,15,2,2512.84,1.16,Empaques y Desechables MX,2024-09-09 08:00:00
70,16,2,1962.43,1.51,Empaques y Desechables MX,2024-09-09 08:00:00
71,17,2,2500.42,0.78,Empaques y Desechables MX,2024-09-09 08:00:00
72,18,2,49.13,21.82,Insumos Generales Toluca,2024-09-09 08:00:00
73,1,1,25.67,236.79,Café Origen SA,2024-09-16 08:00:00
74,2,1,365.54,25.55,Lácteos del Valle,2024-09-16 08:00:00
75,3,1,44.36,45.16,Lácteos del Valle,2024-09-16 08:00:00
76,4,1,3660.68,0.35,Distribuidora Sabores MX,2024-09-16 08:00:00
77,5,1,3553.49,0.38,Distribuidora Sabores MX,2024-09-16 08:00:00
78,6,1,18.05,175.78,Distribuidora Sabores MX,2024-09-16 08:00:00
79,7,1,166.28,6.31,Insumos Generales Toluca,2024-09-16 08:00:00
80,8,1,456.86,4.67,Panificadora San José,2024-09-16 08:00:00
81,9,1,19.69,134.23,Carnes Selectas,2024-09-16 08:00:00
82,10,1,21.36,164.78,Lácteos del Valle,2024-09-16 08:00:00
83,11,1,268.29,12.39,Panificadora San José,2024-09-16 08:00:00
84,12,1,15.86,125.76,Lácteos del Valle,2024-09-16 08:00:00
85,13,1,483.61,1.86,Insumos Generales Toluca,2024-09-16 08:00:00
86,14,1,33.68,56.02,Insumos Generales Toluca,2024-09-16 08:00:00
87,15,1,2827.29,1.25,Empaques y Desechables MX,2024-09-16 08:00:00
88,16,1,2516.22,1.57,Empaques y Desechables MX,2024-09-16 08:00:00
89,17,1,3373.96,0.78,Empaques y Desechables MX,2024-09-16 08:00:00
90,18,1,34.27,21.75,Insumos Generales Toluca,2024-09-16 08:00:00
91,1,2,25.14,214.68,Café Origen SA,2024-09-16 08:00:00
92,2,2,350.44,24.79,Lácteos del Valle,2024-09-16 08:00:00
93,3,2,58.15,46.5,Lácteos del Valle,2024-09-16 08:00:00
94,4,2,5329.04,0.32,Distribuidora Sabores MX,2024-09-16 08:00:00
95,5,2,4755.07,0.34,Distribuidora Sabores MX,2024-09-16 08:00:00
96,6,2,17.44,187.56,Distribuidora Sabores MX,2024-09-16 08:00:00
97,7,2,246.55,5.91,Insumos Generales Toluca,2024-09-16 08:00:00
98,8,2,369.09,4.63,Panificadora San José,2024-09-16 08:00:00
99,9,2,26.39,141.98,Carnes Selectas,2024-09-16 08:00:00
100,10,2,25.28,158.75,Lácteos del Valle,2024-09-16 08:00:00
101,11,2,405.73,12.0,Panificadora San José,2024-09-16 08:00:00
102,12,2,17.29,124.58,Lácteos del Valle,2024-09-16 08:00:00
103,13,2,495.57,1.8,Insumos Generales Toluca,2024-09-16 08:00:00
104,14,2,36.84,54.01,Insumos Generales Toluca,2024-09-16 08:00:00
105,15,2,3207.24,1.21,Empaques y Desechables MX,2024-09-16 08:00:00
106,16,2,3187.55,1.55,Empaques y Desechables MX,2024-09-16 08:00:00
107,17,2,2959.25,0.82,Empaques y Desechables MX,2024-09-16 08:00:00
108,18,2,35.55,22.35,Insumos Generales Toluca,2024-09-16 08:00:00
109,1,1,28.18,217.44,Café Origen SA,2024-09-23 08:00:00
110,2,1,299.78,22.91,Lácteos del Valle,2024-09-23 08:00:00
111,3,1,67.31,46.34,Lácteos del Valle,2024-09-23 08:00:00
112,4,1,4707.69,0.38,Distribuidora Sabores MX,2024-09-23 08:00:00
113,5,1,3606.89,0.33,Distribuidora Sabores MX,2024-09-23 08:00:00
114,6,1,16.67,174.57,Distribuidora Sabores MX,2024-09-23 08:00:00
115,7,1,172.96,6.03,Insumos Generales Toluca,2024-09-23 08:00:00
116,8,1,382.65,4.63,Panificadora San José,2024-09-23 08:00:00
117,9,1,24.38,135.95,Carnes Selectas,2024-09-23 08:00:00
118,10,1,21.41,163.57,Lácteos del Valle,2024-09-23 08:00:00
119,11,1,298.99,11.93,Panificadora San José,2024-09-23 08:00:00
120,12,1,14.72,130.41,Lácteos del Valle,2024-09-23 08:00:00
121,13,1,479.39,1.87,Insumos Generales Toluca,2024-09-23 08:00:00
122,14,1,37.42,51.87,Insumos Generales Toluca,2024-09-23 08:00:00
123,15,1,4342.48,1.19,Empaques y Desechables MX,2024-09-23 08:00:00
124,16,1,2724.28,1.65,Empaques y Desechables MX,2024-09-23 08:00:00
125,17,1,2463.64,0.81,Empaques y Desechables MX,2024-09-23 08:00:00
126,18,1,41.54,21.82,Insumos Generales Toluca,2024-09-23 08:00:00
127,1,2,18.1,213.3,Café Origen SA,2024-09-23 08:00:00
128,2,2,286.55,26.58,Lácteos del Valle,2024-09-23 08:00:00
129,3,2,37.25,46.52,Lácteos del Valle,2024-09-23 08:00:00
130,4,2,4256.95,0.35,Distribuidora Sabores MX,2024-09-23 08:00:00
131,5,2,3977.63,0.34,Distribuidora Sabores MX,2024-09-23 08:00:00
132,6,2,14.64,184.74,Distribuidora Sabores MX,2024-09-23 08:00:00
133,7,2,162.44,5.65,Insumos Generales Toluca,2024-09-23 08:00:00
134,8,2,309.6,4.14,Panificadora San José,2024-09-23 08:00:00
135,9,2,21.8,144.26,Carnes Selectas,2024-09-23 08:00:00
136,10,2,18.86,161.83,Lácteos del Valle,2024-09-23 08:00:00
137,11,2,317.83,11.18,Panificadora San José,2024-09-23 08:00:00
138,12,2,17.05,140.15,Lácteos del Valle,2024-09-23 08:00:00
139,13,2,523.3,1.93,Insumos Generales Toluca,2024-09-23 08:00:00
140,14,2,44.93,55.81,Insumos Generales Toluca,2024-09-23 08:00:00
141,15,2,2942.27,1.29,Empaques y Desechables MX,2024-09-23 08:00:00
142,16,2,2695.62,1.48,Empaques y Desechables MX,2024-09-23 08:00:00
143,17,2,3287.28,0.82,Empaques y Desechables MX,2024-09-23 08:00:00
144,18,2,34.27,21.27,Insumos Generales Toluca,2024-09-23 08:00:00
145,1,1,22.27,210.54,Café Origen SA,2024-09-30 08:00:00
146,2,1,339.61,25.38,Lácteos del Valle,2024-09-30 08:00:00
147,3,1,57.58,47.77,Lácteos del Valle,2024-09-30 08:00:00
148,4,1,4118.77,0.34,Distribuidora Sabores MX,2024-09-30 08:00:00
149,5,1,3925.53,0.35,Distribuidora Sabores MX,2024-09-30 08:00:00
150,6,1,15.56,177.51,Distribuidora Sabores MX,2024-09-30 08:00:00
151,7,1,272.79,5.84,Insumos Generales Toluca,2024-09-30 08:00:00
152,8,1,413.36,4.5,Panificadora San José,2024-09-30 08:00:00
153,9,1,17.52,128.81,Carnes Selectas,2024-09-30 08:00:00
154,10,1,18.92,138.78,Lácteos del Valle,2024-09-30 08:00:00
155,11,1,216.18,11.16,Panificadora San José,2024-09-30 08:00:00
156,12,1,15.11,127.11,Lácteos del Valle,2024-09-30 08:00:00
157,13,1,503.07,1.86,Insumos Generales Toluca,2024-09-30 08:00:00
158,14,1,35.66,53.04,Insumos Generales Toluca,2024-09-30 08:00:00
159,15,1,3332.32,1.24,Empaques y Desechables MX,2024-09-30 08:00:00
160,16,1,3119.03,1.46,Empaques y Desechables MX,2024-09-30 08:00:00
161,17,1,3689.85,0.85,Empaques y Desechables MX,2024-09-30 08:00:00
162,18,1,36.83,23.28,Insumos Generales Toluca,2024-09-30 08:00:00
163,1,2,25.95,202.58,Café Origen SA,2024-09-30 08:00:00
164,2,2,308.35,21.68,Lácteos del Valle,2024-09-30 08:00:00
165,3,2,55.38,44.2,Lácteos del Valle,2024-09-30 08:00:00
166,4,2,5034.44,0.34,Distribuidora Sabores MX,2024-09-30 08:00:00
167,5,2,2955.1,0.34,Distribuidora Sabores MX,2024-09-30 08:00:00
168,6,2,17.66,171.38,Distribuidora Sabores MX,2024-09-30 08:00:00
169,7,2,213.66,6.19,Insumos Generales Toluca,2024-09-30 08:00:00
170,8,2,525.59,4.39,Panificadora San José,2024-09-30 08:00:00
171,9,2,26.24,147.97,Carnes Selectas,2024-09-30 08:00:00
172,10,2,21.95,160.13,Lácteos del Valle,2024-09-30 08:00:00
173,11,2,234.54,12.63,Panificadora San José,2024-09-30 08:00:00
174,12,2,14.95,120.54,Lácteos del Valle,2024-09-30 08:00:00
175,13,2,527.51,1.78,Insumos Generales Toluca,2024-09-30 08:00:00
176,14,2,36.87,55.86,Insumos Generales Toluca,2024-09-30 08:00:00
177,15,2,2816.9,1.21,Empaques y Desechables MX,2024-09-30 08:00:00
178,16,2,3345.98,1.53,Empaques y Desechables MX,2024-09-30 08:00:00
179,17,2,2730.77,0.76,Empaques y Desechables MX,2024-09-30 08:00:00
180,18,2,42.51,22.89,Insumos Generales Toluca,2024-09-30 08:00:00
181,1,1,24.11,233.83,Café Origen SA,2024-10-07 08:00:00
182,2,1,249.42,24.39,Lácteos del Valle,2024-10-07 08:00:00
183,3,1,67.52,45.79,Lácteos del Valle,2024-10-07 08:00:00
184,4,1,3937.08,0.35,Distribuidora Sabores MX,2024-10-07 08:00:00
185,5,1,4348.28,0.34,Distribuidora Sabores MX,2024-10-07 08:00:00
186,6,1,11.73,183.24,Distribuidora Sabores MX,2024-10-07 08:00:00
187,7,1,217.33,6.02,Insumos Generales Toluca,2024-10-07 08:00:00
188,8,1,463.25,4.6,Panificadora San José,2024-10-07 08:00:00
189,9,1,18.2,138.03,Carnes Selectas,2024-10-07 08:00:00
190,10,1,20.46,162.83,Lácteos del Valle,2024-10-07 08:00:00
191,11,1,323.67,12.6,Panificadora San José,2024-10-07 08:00:00
192,12,1,11.62,127.96,Lácteos del Valle,2024-10-07 08:00:00
193,13,1,562.26,1.74,Insumos Generales Toluca,2024-10-07 08:00:00
194,14,1,43.95,55.08,Insumos Generales Toluca,2024-10-07 08:00:00
195,15,1,2754.67,1.2,Empaques y Desechables MX,2024-10-07 08:00:00
196,16,1,3312.9,1.38,Empaques y Desechables MX,2024-10-07 08:00:00
197,17,1,2326.93,0.78,Empaques y Desechables MX,2024-10-07 08:00:00
198,18,1,42.06,22.72,Insumos Generales Toluca,2024-10-07 08:00:00
199,1,2,25.29,212.75,Café Origen SA,2024-10-07 08:00:00
200,2,2,325.21,24.55,Lácteos del Valle,2024-10-07 08:00:00
201,3,2,56.02,47.34,Lácteos del Valle,2024-10-07 08:00:00
202,4,2,3917.43,0.35,Distribuidora Sabores MX,2024-10-07 08:00:00
203,5,2,4595.97,0.37,Distribuidora Sabores MX,2024-10-07 08:00:00
204,6,2,16.44,182.7,Distribuidora Sabores MX,2024-10-07 08:00:00
205,7,2,281.64,6.07,Insumos Generales Toluca,2024-10-07 08:00:00
206,8,2,396.61,4.66,Panificadora San José,2024-10-07 08:00:00
207,9,2,19.09,138.24,Carnes Selectas,2024-10-07 08:00:00
208,10,2,19.57,157.75,Lácteos del Valle,2024-10-07 08:00:00
209,11,2,298.13,11.89,Panificadora San José,2024-10-07 08:00:00
210,12,2,15.76,130.5,Lácteos del Valle,2024-10-07 08:00:00
211,13,2,504.57,1.78,Insumos Generales Toluca,2024-10-07 08:00:00
212,14,2,40.58,53.63,Insumos Generales Toluca,2024-10-07 08:00:00
213,15,2,2871.99,1.23,Empaques y Desechables MX,2024-10-07 08:00:00
214,16,2,3090.74,1.48,Empaques y Desechables MX,2024-10-07 08:00:00
215,17,2,2589.74,0.83,Empaques y Desechables MX,2024-10-07 08:00:00
216,18,2,35.69,21.07,Insumos Generales Toluca,2024-10-07 08:00:00
217,1,1,15.11,228.51,Café Origen SA,2024-10-14 08:00:00
218,2,1,229.63,23.62,Lácteos del Valle,2024-10-14 08:00:00
219,3,1,64.96,47.12,Lácteos del Valle,2024-10-14 08:00:00
220,4,1,3625.81,0.37,Distribuidora Sabores MX,2024-10-14 08:00:00
221,5,1,3592.09,0.37,Distribuidora Sabores MX,2024-10-14 08:00:00
222,6,1,15.43,182.72,Distribuidora Sabores MX,2024-10-14 08:00:00
223,7,1,196.47,6.21,Insumos Generales Toluca,2024-10-14 08:00:00
224,8,1,481.22,4.44,Panificadora San José,2024-10-14 08:00:00
225,9,1,22.84,142.42,Carnes Selectas,2024-10-14 08:00:00
226,10,1,19.61,163.51,Lácteos del Valle,2024-10-14 08:00:00
227,11,1,254.65,12.22,Panificadora San José,2024-10-14 08:00:00
228,12,1,12.01,123.48,Lácteos del Valle,2024-10-14 08:00:00
229,13,1,610.71,1.88,Insumos Generales Toluca,2024-10-14 08:00:00
230,14,1,51.98,55.84,Insumos Generales Toluca,2024-10-14 08:00:00
231,15,1,2566.71,1.15,Empaques y Desechables MX,2024-10-14 08:00:00
232,16,1,3087.85,1.5,Empaques y Desechables MX,2024-10-14 08:00:00
233,17,1,2912.23,0.8,Empaques y Desechables MX,2024-10-14 08:00:00
234,18,1,44.29,21.47,Insumos Generales Toluca,2024-10-14 08:00:00
235,1,2,26.1,221.72,Café Origen SA,2024-10-14 08:00:00
236,2,2,282.25,22.95,Lácteos del Valle,2024-10-14 08:00:00
237,3,2,58.83,47.21,Lácteos del Valle,2024-10-14 08:00:00
238,4,2,4123.12,0.34,Distribuidora Sabores MX,2024-10-14 08:00:00
239,5,2,3129.32,0.35,Distribuidora Sabores MX,2024-10-14 08:00:00
240,6,2,11.15,179.5,Distribuidora Sabores MX,2024-10-14 08:00:00
241,7,2,229.53,6.08,Insumos Generales Toluca,2024-10-14 08:00:00
242,8,2,409.21,4.38,Panificadora San José,2024-10-14 08:00:00
243,9,2,20.03,126.8,Carnes Selectas,2024-10-14 08:00:00
244,10,2,19.88,156.48,Lácteos del Valle,2024-10-14 08:00:00
245,11,2,317.04,11.83,Panificadora San José,2024-10-14 08:00:00
246,12,2,12.92,130.12,Lácteos del Valle,2024-10-14 08:00:00
247,13,2,610.0,1.86,Insumos Generales Toluca,2024-10-14 08:00:00
248,14,2,39.97,52.03,Insumos Generales Toluca,2024-10-14 08:00:00
249,15,2,3163.57,1.16,Empaques y Desechables MX,2024-10-14 08:00:00
250,16,2,3597.82,1.53,Empaques y Desechables MX,2024-10-14 08:00:00
251,17,2,2257.19,0.81,Empaques y Desechables MX,2024-10-14 08:00:00
252,18,2,40.82,21.97,Insumos Generales Toluca,2024-10-14 08:00:00
253,1,1,17.94,212.71,Café Origen SA,2024-10-21 08:00:00
254,2,1,342.1,25.16,Lácteos del Valle,2024-10-21 08:00:00
255,3,1,60.76,47.07,Lácteos del Valle,2024-10-21 08:00:00
256,4,1,4376.8,0.37,Distribuidora Sabores MX,2024-10-21 08:00:00
257,5,1,4375.95,0.34,Distribuidora Sabores MX,2024-10-21 08:00:00
258,6,1,18.59,178.3,Distribuidora Sabores MX,2024-10-21 08:00:00
259,7,1,184.62,6.0,Insumos Generales Toluca,2024-10-21 08:00:00
260,8,1,398.59,4.33,Panificadora San José,2024-10-21 08:00:00
261,9,1,28.55,135.31,Carnes Selectas,2024-10-21 08:00:00
262,10,1,22.12,162.28,Lácteos del Valle,2024-10-21 08:00:00
263,11,1,391.08,11.44,Panificadora San José,2024-10-21 08:00:00
264,12,1,16.45,129.08,Lácteos del Valle,2024-10-21 08:00:00
265,13,1,507.98,1.83,Insumos Generales Toluca,2024-10-21 08:00:00
266,14,1,36.97,53.29,Insumos Generales Toluca,2024-10-21 08:00:00
267,15,1,3687.15,1.19,Empaques y Desechables MX,2024-10-21 08:00:00
268,16,1,3060.27,1.51,Empaques y Desechables MX,2024-10-21 08:00:00
269,17,1,2984.44,0.88,Empaques y Desechables MX,2024-10-21 08:00:00
270,18,1,32.37,23.08,Insumos Generales Toluca,2024-10-21 08:00:00
271,1,2,25.7,216.05,Café Origen SA,2024-10-21 08:00:00
272,2,2,268.03,24.35,Lácteos del Valle,2024-10-21 08:00:00
273,3,2,55.93,42.98,Lácteos del Valle,2024-10-21 08:00:00
274,4,2,4486.34,0.32,Distribuidora Sabores MX,2024-10-21 08:00:00
275,5,2,4144.49,0.38,Distribuidora Sabores MX,2024-10-21 08:00:00
276,6,2,15.79,168.68,Distribuidora Sabores MX,2024-10-21 08:00:00
277,7,2,191.44,5.85,Insumos Generales Toluca,2024-10-21 08:00:00
278,8,2,408.08,4.65,Panificadora San José,2024-10-21 08:00:00
279,9,2,27.77,148.48,Carnes Selectas,2024-10-21 08:00:00
280,10,2,16.73,155.53,Lácteos del Valle,2024-10-21 08:00:00
281,11,2,293.4,12.33,Panificadora San José,2024-10-21 08:00:00
282,12,2,11.03,131.83,Lácteos del Valle,2024-10-21 08:00:00
283,13,2,556.64,1.94,Insumos Generales Toluca,2024-10-21 08:00:00
284,14,2,40.83,51.43,Insumos Generales Toluca,2024-10-21 08:00:00
285,15,2,3325.9,1.19,Empaques y Desechables MX,2024-10-21 08:00:00
286,16,2,3692.71,1.5,Empaques y Desechables MX,2024-10-21 08:00:00
287,17,2,2164.24,0.76,Empaques y Desechables MX,2024-10-21 08:00:00
288,18,2,36.26,22.48,Insumos Generales Toluca,2024-10-21 08:00:00
289,1,1,28.21,219.26,Café Origen SA,2024-10-28 08:00:00
290,2,1,281.2,24.55,Lácteos del Valle,2024-10-28 08:00:00
291,3,1,78.33,45.19,Lácteos del Valle,2024-10-28 08:00:00
292,4,1,4555.83,0.37,Distribuidora Sabores MX,2024-10-28 08:00:00
293,5,1,3887.92,0.35,Distribuidora Sabores MX,2024-10-28 08:00:00
294,6,1,16.93,193.41,Distribuidora Sabores MX,2024-10-28 08:00:00
295,7,1,179.19,5.87,Insumos Generales Toluca,2024-10-28 08:00:00
296,8,1,297.05,4.67,Panificadora San José,2024-10-28 08:00:00
297,9,1,28.74,141.17,Carnes Selectas,2024-10-28 08:00:00
298,10,1,24.47,158.07,Lácteos del Valle,2024-10-28 08:00:00
299,11,1,276.92,11.11,Panificadora San José,2024-10-28 08:00:00
300,12,1,15.78,125.13,Lácteos del Valle,2024-10-28 08:00:00
301,13,1,562.0,1.82,Insumos Generales Toluca,2024-10-28 08:00:00
302,14,1,44.99,56.22,Insumos Generales Toluca,2024-10-28 08:00:00
303,15,1,3445.85,1.21,Empaques y Desechables MX,2024-10-28 08:00:00
304,16,1,3073.25,1.54,Empaques y Desechables MX,2024-10-28 08:00:00
305,17,1,2557.64,0.85,Empaques y Desechables MX,2024-10-28 08:00:00
306,18,1,35.81,21.89,Insumos Generales Toluca,2024-10-28 08:00:00
307,1,2,30.71,220.45,Café Origen SA,2024-10-28 08:00:00
308,2,2,311.54,23.81,Lácteos del Valle,2024-10-28 08:00:00
309,3,2,56.47,45.31,Lácteos del Valle,2024-10-28 08:00:00
310,4,2,3783.66,0.35,Distribuidora Sabores MX,2024-10-28 08:00:00
311,5,2,2862.41,0.37,Distribuidora Sabores MX,2024-10-28 08:00:00
312,6,2,18.98,199.51,Distribuidora Sabores MX,2024-10-28 08:00:00
313,7,2,188.26,5.55,Insumos Generales Toluca,2024-10-28 08:00:00
314,8,2,301.17,4.56,Panificadora San José,2024-10-28 08:00:00
315,9,2,21.59,141.2,Carnes Selectas,2024-10-28 08:00:00
316,10,2,20.31,172.81,Lácteos del Valle,2024-10-28 08:00:00
317,11,2,269.99,11.74,Panificadora San José,2024-10-28 08:00:00
318,12,2,14.81,138.56,Lácteos del Valle,2024-10-28 08:00:00
319,13,2,466.26,1.86,Insumos Generales Toluca,2024-10-28 08:00:00
320,14,2,23.23,55.73,Insumos Generales Toluca,2024-10-28 08:00:00
321,15,2,3246.17,1.22,Empaques y Desechables MX,2024-10-28 08:00:00
322,16,2,2496.51,1.44,Empaques y Desechables MX,2024-10-28 08:00:00
323,17,2,3244.23,0.88,Empaques y Desechables MX,2024-10-28 08:00:00
324,18,2,43.78,24.03,Insumos Generales Toluca,2024-10-28 08:00:00
325,1,1,30.6,224.47,Café Origen SA,2024-11-04 08:00:00
326,2,1,266.46,25.91,Lácteos del Valle,2024-11-04 08:00:00
327,3,1,59.01,47.79,Lácteos del Valle,2024-11-04 08:00:00
328,4,1,3557.69,0.33,Distribuidora Sabores MX,2024-11-04 08:00:00
329,5,1,3998.44,0.37,Distribuidora Sabores MX,2024-11-04 08:00:00
330,6,1,14.65,189.47,Distribuidora Sabores MX,2024-11-04 08:00:00
331,7,1,231.23,5.73,Insumos Generales Toluca,2024-11-04 08:00:00
332,8,1,263.88,4.47,Panificadora San José,2024-11-04 08:00:00
333,9,1,23.1,158.52,Carnes Selectas,2024-11-04 08:00:00
334,10,1,18.22,168.07,Lácteos del Valle,2024-11-04 08:00:00
335,11,1,313.26,12.82,Panificadora San José,2024-11-04 08:00:00
336,12,1,12.42,127.55,Lácteos del Valle,2024-11-04 08:00:00
337,13,1,423.13,1.76,Insumos Generales Toluca,2024-11-04 08:00:00
338,14,1,34.79,54.18,Insumos Generales Toluca,2024-11-04 08:00:00
339,15,1,2894.58,1.28,Empaques y Desechables MX,2024-11-04 08:00:00
340,16,1,2780.27,1.42,Empaques y Desechables MX,2024-11-04 08:00:00
341,17,1,1638.72,0.78,Empaques y Desechables MX,2024-11-04 08:00:00
342,18,1,38.11,21.04,Insumos Generales Toluca,2024-11-04 08:00:00
343,1,2,30.49,223.57,Café Origen SA,2024-11-04 08:00:00
344,2,2,324.32,23.75,Lácteos del Valle,2024-11-04 08:00:00
345,3,2,59.9,50.07,Lácteos del Valle,2024-11-04 08:00:00
346,4,2,4409.75,0.36,Distribuidora Sabores MX,2024-11-04 08:00:00
347,5,2,3234.47,0.36,Distribuidora Sabores MX,2024-11-04 08:00:00
348,6,2,15.56,173.43,Distribuidora Sabores MX,2024-11-04 08:00:00
349,7,2,188.61,6.04,Insumos Generales Toluca,2024-11-04 08:00:00
350,8,2,372.56,4.54,Panificadora San José,2024-11-04 08:00:00
351,9,2,28.0,145.23,Carnes Selectas,2024-11-04 08:00:00
352,10,2,20.19,164.52,Lácteos del Valle,2024-11-04 08:00:00
353,11,2,290.58,12.05,Panificadora San José,2024-11-04 08:00:00
354,12,2,11.8,126.96,Lácteos del Valle,2024-11-04 08:00:00
355,13,2,472.5,1.91,Insumos Generales Toluca,2024-11-04 08:00:00
356,14,2,38.38,55.32,Insumos Generales Toluca,2024-11-04 08:00:00
357,15,2,3383.57,1.2,Empaques y Desechables MX,2024-11-04 08:00:00
358,16,2,2870.57,1.54,Empaques y Desechables MX,2024-11-04 08:00:00
359,17,2,2820.13,0.77,Empaques y Desechables MX,2024-11-04 08:00:00
360,18,2,30.75,21.15,Insumos Generales Toluca,2024-11-04 08:00:00
361,1,1,24.73,235.54,Café Origen SA,2024-11-11 08:00:00
362,2,1,211.37,23.81,Lácteos del Valle,2024-11-11 08:00:00
363,3,1,66.68,44.94,Lácteos del Valle,2024-11-11 08:00:00
364,4,1,4135.0,0.35,Distribuidora Sabores MX,2024-11-11 08:00:00
